,date,btc_price,btc_volume_24hr,btc_supply,btc_weekly_spread,us_real_interest_rate_percent,us_gdp_usd,us_inflation_rate_percent
70,2021-05-09,56762.67517219358,65591149005.82598,18692098.34253903,5307.511470005644,0.03694758,23290000000000.0,4.99
71,2021-05-16,52530.89846787045,73107218207.40129,18714247.36139264,11433.023989056186,0.03694758,23290000000000.0,4.99
72,2021-05-23,40863.14350804088,86538091066.28519,18704299.14178159,9297.672732961088,0.03694758,23290000000000.0,4.99
73,2021-05-30,37195.12935219385,55040692163.93373,18730384.98353708,4631.854830643373,0.03694758,23290000000000.0,4.99
74,2021-06-06,37008.31998995711,34312721685.674984,18717001.36916303,3604.3302189666792,-0.00566485,23470000000000.0,5.39
75,2021-06-13,35750.79136154492,39613482929.6462,18741839.319272548,4102.260351373545,-0.00566485,23470000000000.0,5.39
76,2021-06-20,38304.03553132833,36806222586.95975,18742838.167854298,5042.870785429535,-0.00566485,23470000000000.0,5.39
77,2021-06-27,33193.13269266307,41727807936.58845,18749934.395531986,4075.1419375053083,-0.00566485,23470000000000.0,5.39
78,2021-07-04,34666.1227061375,30019199560.683014,18730742.475330234,2291.42743204772,0.03504108,23660000000000.0,5.37
79,2021-07-11,34002.000881285334,24618259618.808464,18752467.02875534,2460.6348747885204,0.03504108,23660000000000.0,5.37
80,2021-07-18,32547.405908157707,20448480016.527344,18754199.942721575,2900.284887835318,0.03504108,23660000000000.0,5.37
81,2021-07-25,32183.134530579886,22101127032.07655,18743458.734793134,4241.696148564559,0.03504108,23660000000000.0,5.37
82,2021-08-01,39359.1456843259,34990832491.20641,18769656.838558584,6480.136817910381,-0.26101879,23820000000000.0,5.25
83,2021-08-08,40798.37593883735,33554352204.72116,18780393.481835987,6279.223591022193,-0.26101879,23820000000000.0,5.25
84,2021-08-15,45808.161051522686,36737711341.0349,18753289.084554497,3964.0526650186293,-0.26101879,23820000000000.0,5.25
85,2021-08-22,46783.04050717452,36188884647.14557,18763495.22345102,4661.42374767625,-0.26101879,23820000000000.0,5.25
86,2021-08-29,48708.73503567739,33098489080.253838,18802783.280961853,2289.5068370308436,-0.26101879,23820000000000.0,5.25
87,2021-09-05,48782.334762811195,35969076361.76622,18796325.840263374,2888.7757222518558,-0.19473087,24010000000000.0,5.39
88,2021-09-12,47719.17646443752,41750390889.69619,18803965.212619368,7937.193763848532,-0.19473087,24010000000000.0,5.39
89,2021-09-19,47147.39653588291,31984677770.6257,18825089.95514003,3126.793104057957,-0.19473087,24010000000000.0,5.39
90,2021-09-26,43552.536306819355,36773397842.85061,18839190.83894385,6984.415697075427,-0.19473087,24010000000000.0,5.39
91,2021-10-03,44000.17492312024,31914003370.332584,18876669.051390346,7171.501074234591,0.08790114,24450000000000.0,6.22
92,2021-10-10,52522.59960457648,35011674517.66667,18839003.36841464,7132.0346034544855,0.08790114,24450000000000.0,6.22
93,2021-10-17,58076.3561663706,40966356590.981094,18847554.745123435,7097.154347627307,0.08790114,24450000000000.0,6.22
94,2021-10-24,62785.63022492675,38651283431.157135,18871750.1392293,5208.2466184729565,0.08790114,24450000000000.0,6.22
95,2021-10-31,61219.22592708964,37260446295.98142,18866689.713572912,4587.212351647213,0.08790114,24450000000000.0,6.22
96,2021-11-07,61926.048307824196,33997745219.26175,18826506.579444505,2125.3777602132395,0.16399788,24580000000000.0,6.81
97,2021-11-14,65296.38621997144,46024085206.66199,18869832.6706,4463.785351842205,0.16399788,24580000000000.0,6.81
98,2021-11-21,60880.64587675954,36533017372.720634,18864646.19857987,8661.655452551939,0.16399788,24580000000000.0,6.81
99,2021-11-28,56818.95098331753,33023602543.610157,18894591.72024446,5311.98641449245,0.16399788,24580000000000.0,6.81
100,2021-12-05,55531.901868321474,39359376789.43601,18892484.9589565,8686.782827554722,0.09168917,24930000000000.0,7.04
101,2021-12-12,49334.27238052754,29589401891.66433,18899020.43480945,3344.099254183435,0.09168917,24930000000000.0,7.04
102,2021-12-19,47869.72774361657,27436604009.899998,18901952.285714287,3722.3819832301524,0.09168917,24930000000000.0,7.04
103,2021-12-26,49182.570401659344,23743068173.828846,18903516.67964145,4093.566333089744,0.09168917,24930000000000.0,7.04
104,2022-01-02,48169.52398894041,23838207406.13812,18898116.716740586,4533.209171488146,0.3194951,24860000000000.0,7.48
105,2022-01-09,44286.26326451088,34538379125.84332,18974117.95915895,5860.0151250523995,0.3194951,24860000000000.0,7.48
106,2022-01-16,42778.174740248614,25122897300.655712,18920115.70868776,2119.516341522438,0.3194951,24860000000000.0,7.48
107,2022-01-23,40280.00873564036,23630828433.711643,18956661.20303517,7939.356680249897,0.3194951,24860000000000.0,7.48
108,2022-01-30,37185.911796955406,26803735392.109863,18928068.411995716,1925.7692917123786,0.3194951,24860000000000.0,7.48
109,2022-02-06,38949.177800211895,17370477773.325123,18895034.404366586,4672.857055667409,0.44159289,25010000000000.0,7.87
110,2022-02-13,43326.15359971644,21831474204.271946,18949981.03295671,2129.149932179862,0.44159289,25010000000000.0,7.87
111,2022-02-20,42049.89338919344,17288747695.577778,18977915.54459615,4500.825208628339,0.44159289,25010000000000.0,7.87
112,2022-02-27,38293.3134560371,22840074476.769146,18965724.448310696,2256.182673498435,0.44159289,25010000000000.0,7.87
113,2022-03-06,41517.81696973473,23694437467.183475,18965943.93449909,6656.001467294118,0.34708992,25210000000000.0,8.54
114,2022-03-13,39197.95441956054,22439786356.564766,18992081.904049747,3909.5406235559494,0.34708992,25210000000000.0,8.54
115,2022-03-20,40437.213313106986,22459166396.069027,18975013.767944686,4349.414779625295,0.34708992,25210000000000.0,8.54
116,2022-03-27,42903.97765882583,22109951948.778316,18977813.23626802,3449.028323771461,0.34708992,25210000000000.0,8.54
117,2022-04-03,46553.339492362364,26958703044.478634,19001298.109179158,1930.854084400744,0.94940027,25290000000000.0,8.26
118,2022-04-10,44359.8122673586,24318567063.05899,19001155.280871823,4306.925988872943,0.94940027,25290000000000.0,8.26
119,2022-04-17,40612.30755331046,22705700675.695618,19015848.453775622,2670.9422109719235,0.94940027,25290000000000.0,8.26
120,2022-04-24,40473.59583088864,26866334446.9116,19017739.465722024,1936.3422559421888,0.94940027,25290000000000.0,8.26
121,2022-05-01,39077.574442422665,27012078409.08734,19031725.457615085,2668.266152330296,1.20389776,25550000000000.0,8.58
122,2022-05-08,37551.239193903966,28322578285.855602,19034043.34721263,4125.713842418998,1.20389776,25550000000000.0,8.58
123,2022-05-15,30415.214214278596,52553842139.87294,19030552.194793794,5156.823833925289,1.20389776,25550000000000.0,8.58
124,2022-05-22,29949.719635790232,24468911177.06894,19045834.70606523,2547.1086100174216,1.20389776,25550000000000.0,8.58
125,2022-05-29,29405.123464828142,24225250313.95794,19052958.282043677,1704.3982352056446,1.20389776,25550000000000.0,8.58
126,2022-06-05,30428.59452619838,24836136842.33636,19054202.18364338,2373.2464062195286,1.02509351,25790000000000.0,9.06
127,2022-06-12,30051.669386808237,24469240282.417927,19066206.4695935,2998.4397656515503,1.02509351,25790000000000.0,9.06
128,2022-06-19,21999.46368656179,40708014680.62919,19083748.097626746,7719.851344939369,1.02509351,25790000000000.0,9.06
129,2022-06-26,20818.075098108926,24699128322.228046,19074784.419114,1542.313879348283,1.02509351,25790000000000.0,9.06
130,2022-07-03,20068.48954387681,19884609112.211235,19025430.62274844,1784.578395169603,1.06217493,25750000000000.0,8.52
131,2022-07-10,20775.965160372918,24682096213.53045,19094106.714154072,2548.5855306957274,1.06217493,25750000000000.0,8.52
132,2022-07-17,20428.141978563017,30616879649.6853,19098502.338758,1842.3459932910991,1.06217493,25750000000000.0,8.52
133,2022-07-24,22608.32034968719,47487765170.624825,19089458.57893411,2542.5449462762117,1.06217493,25750000000000.0,8.52
134,2022-07-31,22773.088814511946,49010200327.24623,19133990.24663004,2611.9710026528373,1.06217493,25750000000000.0,8.52
135,2022-08-07,23073.670995362074,31123849946.454853,19110459.925176024,701.3368912166334,0.8556253,26130000000000.0,8.26
136,2022-08-14,23852.511212068563,26480492811.438297,19111362.48456395,1236.0502777182737,0.8556253,26130000000000.0,8.26
137,2022-08-21,23019.10850959014,26915918707.154316,19125460.341806013,3366.70745884196,0.8556253,26130000000000.0,8.26
138,2022-08-28,21131.529160049042,27380295808.111626,19122729.682611138,1548.0556875804468,0.8556253,26130000000000.0,8.26
139,2022-09-04,19958.14355585713,25195122037.50333,19143241.43385894,649.6147416978383,1.20424868,26100000000000.0,8.2
140,2022-09-11,20042.231411786186,31840579050.21528,19147471.937185466,2847.8872316378583,1.20424868,26100000000000.0,8.2
141,2022-09-18,20588.37460860173,34978547801.43804,19142476.359143462,2637.50061281164,1.20424868,26100000000000.0,8.2
142,2022-09-25,19159.043810215593,34422814375.51917,19166448.393224947,1030.751471210926,1.20424868,26100000000000.0,8.2
143,2022-10-02,19277.91624929439,36483334143.50543,19158820.90351316,754.3537224444626,1.79733203,26290000000000.0,7.75
144,2022-10-09,19716.76407110653,24947251113.486122,19175874.546113174,1280.2446829576547,1.79733203,26290000000000.0,7.75
145,2022-10-16,19208.191781039328,24384882857.34634,19165940.51247027,389.5209620193382,1.79733203,26290000000000.0,7.75
146,2022-10-23,19245.913605987324,22523551311.064556,19183841.137018923,526.7356769089747,1.79733203,26290000000000.0,7.75
147,2022-10-30,20204.497015679917,35700126269.96612,19186166.599196106,1483.7664647825804,1.79733203,26290000000000.0,7.75
148,2022-11-06,20630.758989329675,34314138951.50932,19192652.923707306,1120.0042046001654,1.93071305,26460000000000.0,7.11
149,2022-11-13,18183.239534068623,63086045855.39929,19173521.83883414,5164.553590993681,1.93071305,26460000000000.0,7.11
150,2022-11-20,16672.601495103332,23906725497.162388,19212186.66517554,546.1870678635969,1.93071305,26460000000000.0,7.11
151,2022-11-27,16353.527418418245,22401879802.13627,19229012.611300092,793.674704588313,1.93071305,26460000000000.0,7.11
152,2022-12-04,16755.833299185415,22521911666.85749,19234573.783399086,964.2918433348932,1.57612515,26480000000000.0,6.45
153,2022-12-11,17081.493461143724,20532122133.734,19226340.86595926,383.7106893602977,1.57612515,26480000000000.0,6.45
154,2022-12-18,17234.58780992671,21945030688.99957,19232778.64777422,1184.9583465145006,1.57612515,26480000000000.0,6.45
155,2022-12-25,16763.768416754272,16376826839.861832,19241110.252820194,476.7696957674598,1.57612515,26480000000000.0,6.45
156,2023-01-01,16681.728349814515,15270490780.937527,19241317.928456612,361.1757779361069,1.78309897,26730000000000.0,6.41
157,2023-01-08,16795.189335965468,14655273533.623219,19256204.173497256,344.2627444623322,1.78309897,26730000000000.0,6.41
158,2023-01-15,18504.43672809124,31672788363.336185,19241088.450705405,3944.591218295918,1.78309897,26730000000000.0,6.41
159,2023-01-22,21495.817884976314,35187988875.468575,19258331.421897072,2044.1783175953387,1.78309897,26730000000000.0,6.41
160,2023-01-29,22948.8296079725,34577914972.876015,19272600.159097962,570.4120996014135,1.78309897,26730000000000.0,6.41
161,2023-02-05,23404.562301488495,36319194481.68233,19270327.116907008,957.0750360841339,1.42020217,26830000000000.0,6.04
162,2023-02-12,22473.663232802686,35838134734.164505,19284941.08873949,1664.7806687764023,1.42020217,26830000000000.0,6.04
163,2023-02-19,23306.31106888127,39940741028.470825,19299073.800085574,2862.9164668942612,1.42020217,26830000000000.0,6.04
164,2023-02-26,23987.866853589545,36489827808.90192,19301675.42516003,1629.627833386181,1.42020217,26830000000000.0,6.04
165,2023-03-05,23147.03092520424,26629759230.92025,19303396.683481943,1286.0035737356338,2.05963636,26880000000000.0,4.98
166,2023-03-12,21408.566521974204,31856112319.561394,19293093.14993417,2226.6568555799677,2.05963636,26880000000000.0,4.98
167,2023-03-19,25034.293985348933,58434316785.59443,19305901.41654965,5370.9644314941725,2.05963636,26880000000000.0,4.98
168,2023-03-26,27936.419169607852,32643187084.36138,19330747.211871292,1010.4802827451422,2.05963636,26880000000000.0,4.98
169,2023-04-02,27996.281397508534,17660826292.469234,19338185.41718569,1334.4851697381746,1.44391386,26920000000000.0,4.93
170,2023-04-09,28052.85944172017,13548372450.59279,19343101.525395695,421.0822076918121,1.44391386,26920000000000.0,4.93
171,2023-04-16,29908.554832554626,16292681870.80921,19348552.457880195,2117.171706740668,1.44391386,26920000000000.0,4.93
172,2023-04-23,28912.680721923658,17713069330.47073,19352438.02899501,3065.7470390258386,1.44391386,26920000000000.0,4.93
173,2023-04-30,28551.869192590755,18594488290.868187,19348938.81412193,1971.886022830553,1.44391386,26920000000000.0,4.93
174,2023-05-07,28912.113324562877,13777535614.638933,19360965.328080945,1394.8211133336736,1.53690406,27070000000000.0,4.05
175,2023-05-14,27452.272518112546,11863964637.232346,19374227.795689873,1823.7488016962416,1.53690406,27070000000000.0,4.05
176,2023-05-21,27053.34257670589,10591174441.358648,19382048.62818632,547.0190167242836,1.53690406,27070000000000.0,4.05
177,2023-05-28,26749.605479250946,10613109225.304045,19387478.452755768,883.9887996051657,1.53690406,27070000000000.0,4.05
178,2023-06-04,27423.950864819893,11950408511.680014,19394890.49981873,1286.2119680925061,1.06063107,27190000000000.0,2.97
179,2023-06-11,26500.93403656458,13519424244.19342,19393877.33669759,1522.831497254283,1.06063107,27190000000000.0,2.97
180,2023-06-18,25885.696219792815,11489691853.690678,19400026.375313006,1393.2897463530826,1.06063107,27190000000000.0,2.97
181,2023-06-25,28949.689907886215,16133937081.50221,19410086.81879774,4296.151823671378,1.06063107,27190000000000.0,2.97
182,2023-07-02,30435.471025479103,12741214683.682407,19409564.189063247,610.0691108041538,1.4260473,27390000000000.0,3.18
183,2023-07-09,30505.21941457254,12151300986.497614,19429479.310276512,1144.6579822881577,1.4260473,27390000000000.0,3.18
184,2023-07-16,30521.170934931484,13526600881.025364,19419993.291858394,1276.144313592351,1.4260473,27390000000000.0,3.18
185,2023-07-23,29937.854595689216,9626399874.533468,19424604.17310139,527.1788491543302,1.4260473,27390000000000.0,3.18
186,2023-07-30,29385.799329205824,9322045054.83106,19437784.434468787,873.054805656895,1.4260473,27390000000000.0,3.18
187,2023-08-06,29215.075333320066,11294034619.78755,19436925.08505309,490.30928990423126,1.60209539,27620000000000.0,3.67
188,2023-08-13,29402.887291151856,9228835855.24911,19453265.48326739,735.3572956733296,1.60209539,27620000000000.0,3.67
189,2023-08-20,27894.20687052495,13554275272.003588,19463145.965233397,3357.7485473420493,1.60209539,27620000000000.0,3.67
190,2023-08-27,26134.9109415339,9135737644.746082,19464283.631412867,447.9929072941595,1.60209539,27620000000000.0,3.67
191,2023-09-03,26401.879502730775,14960110855.513048,19472559.445620663,1918.1732410801196,1.69970754,27830000000000.0,3.7
192,2023-09-10,25902.174228946824,6835211143.90844,19470304.698302064,439.3750145011545,1.69970754,27830000000000.0,3.7
193,2023-09-17,26111.70303245814,10570962964.778429,19482185.22225539,1501.3279184340608,1.69970754,27830000000000.0,3.7
194,2023-09-24,26757.812533259897,10443286666.282972,19495393.38715569,698.3086198503261,1.69970754,27830000000000.0,3.7
195,2023-10-01,26571.3130084037,10559249126.993713,19497107.090130024,804.2561598889115,2.08246076,27740000000000.0,3.24
196,2023-10-08,27740.774747331772,12208428442.890867,19501031.24782114,541.6688755649011,2.08246076,27740000000000.0,3.24
197,2023-10-15,27172.825903364643,10042429496.776735,19512005.03274044,1218.966445933409,2.08246076,27740000000000.0,3.24
198,2023-10-22,28674.68420103638,13638534665.71118,19509021.349809963,2769.7774912444,2.08246076,27740000000000.0,3.24
199,2023-10-29,33351.0755846986,22498213219.12078,19509371.83895874,4452.605530808505,2.08246076,27740000000000.0,3.24
200,2023-11-05,34841.2193692617,15777324806.933455,19523538.354043458,958.7509926414641,2.09432864,27780000000000.0,3.14
201,2023-11-12,36080.029790818044,18884310403.029686,19509504.714384016,2312.9801186332843,2.09432864,27780000000000.0,3.14
202,2023-11-19,36625.338242032434,17324009895.798702,19544051.060309596,2358.4610182088727,2.09432864,27780000000000.0,3.14
203,2023-11-26,37310.7981518212,16457027671.16711,19550482.803380866,1844.4925055724307,2.09432864,27780000000000.0,3.14
204,2023-12-03,38033.76189021593,17831099096.8863,19555882.394515783,2231.4973645817154,1.68089907,,3.35
205,2023-12-10,43006.66120497782,27420289755.093117,19567625.21187911,4241.900689025686,1.68089907,,3.35
206,2023-12-17,42370.02591463585,22351242206.503242,19567717.505824763,2556.997211517497,1.68089907,,3.35
207,2023-12-24,43083.53700662527,21057323912.768196,19576310.539081104,2592.876387067947,1.68089907,,3.35
208,2023-12-31,42786.29589588234,20096769441.83137,19588470.214127596,1563.5291460124427,1.68089907,,3.35
